State,Program Name,Type
New York,National Fuel - Residential Conservation Program,Rebate Program
New York,National Fuel (Gas) - Commercial Energy Efficiency Program,Rebate Program
New York,Orange and Rockland Utilities (Gas) - Residential Efficiency Program,Rebate Program
Maine,Efficiency Maine - Home Energy Savings Program,Rebate Program
New Jersey,PSE&G - Residential Efficiency Program,Rebate Program
New York,Local Government Energy Efficient Appliance Rebate Program,Rebate Program
Montana,Montana-Dakota Utilities - Residential Energy Efficiency Rebate Program,Rebate Program
South Dakota,Montana-Dakota Utilities (Gas) - Commercial Natural Gas Efficiency Rebate Program,Rebate Program
Montana,Montana-Dakota Utilities - Commercial Energy Efficiency Incentive Program,Rebate Program
Maine,Interconnection Standards,Interconnection
South Dakota,Montana-Dakota Utilities (Gas) - Residential Energy Efficiency Rebate Program,Rebate Program
Ohio,Firelands Electric Cooperative - Residential Energy Efficiency Rebate Program,Rebate Program
New York,Home Performance with Energy Star High Efficiency Measure Incentive (HEMI),Rebate Program
California,Riverside Public Utilities - PV for Schools Rebate Program,Rebate Program
Alaska,Alaska - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Georgia,Georgia - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
New Jersey,Solar and Wind Permitting Laws,Solar/Wind Permitting Standards
Connecticut,Connecticut Natural Gas - Custom Commercial Energy Efficiency Program,Rebate Program
Maryland,FirstEnergy (Potomac Edison) - Residential Energy Efficiency Rebate Program,Rebate Program
Maryland,FirstEnergy (Potomac Edison) - Commercial and Industrial Efficiency Rebate Program,Rebate Program
Connecticut,Yankee Gas - Custom Commercial Energy Efficiency Program,Rebate Program
Connecticut,Southern Connecticut Gas - Custom Commercial Energy Efficiency Program,Rebate Program
Iowa,Black Hills Energy (Gas) - Residential New Construction Rebate Program,Rebate Program
Missouri,Independence Power and Light - Residential Energy Efficiency Rebate Program,Rebate Program
Missouri,Independence Power and Light - New Homes Rebate Program,Rebate Program
Connecticut,Connecticut Natural Gas - Cooking and Water Heating Rebate Program,Rebate Program
Missouri,Independence Power and Light - Commercial Energy Efficiency Rebate Program,Rebate Program
Connecticut,Yankeegas -  Cooking and Water Heating Rebate Program,Rebate Program
Connecticut,(Gas) Commercial and Industrial Gas Rebate Program,Rebate Program
Massachusetts,MassCEC - Commonwealth Solar Stimulus,Rebate Program
South Dakota,(NOT IN EFFECT) Model Ordinance for Siting of Wind-Energy Systems,Solar/Wind Permitting Standards
Idaho,Idaho - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Kentucky,Atmos Energy - Natural Gas and Weatherization Efficiency Program,Rebate Program
Michigan,Energy Smart - Residential Energy Efficiency Rebate Program (19 Municipalities),Rebate Program
Arizona,Southwest Gas Corporation - Home Builder Efficiency Rebate Program,Rebate Program
Kentucky,Kentucky Utilities Company and Louisville Gas & Electric- Commercial Energy Efficiency Rebate Program,Rebate Program
Nevada,Southwest Gas Corporation - Residential Energy Efficiency Rebate Program,Rebate Program
Indiana,Ohio Valley Gas Corporation - Residential and Small Commercial Natural Gas Incentive Program,Rebate Program
Iowa,Farmers Electric Cooperative (Kalona) - Renewable Energy Purchase Rate,Performance-Based Incentive
Michigan,Michigan - Residential Energy-Efficient Appliance Rebate Program (Appliances),Rebate Program
Wisconsin,Alliant Energy (Wisconsin Power and Light) - Farm Wiring Financing Program,Loan Program
Wisconsin,Alliant Energy (Wisconsin Power and Light) - Shared Savings Program,Loan Program
New Hampshire,New Hampshire Electric Co-op - Solar Hot Water Rebate Program,Rebate Program
Oregon,McMinnville Water and Light - Residential Energy Efficiency Rebate Program,Rebate Program
Arizona,Southwest Gas Corporation - Commercial High-Efficiency Equipment Rebate Program,Rebate Program
Indiana,Parke County REMC - Energy Efficient Equipment Rebate Program,Rebate Program
New Jersey,New Jersey Direct Install Program,Rebate Program
South Carolina,Progress Energy Carolinas - Home Advantage Builder Rebate Program,Rebate Program
South Carolina,Duke Energy Progress - Residential Energy Efficiency Rebate Program,Rebate Program
New Hampshire,Enterprise Energy Fund Loans,Loan Program
New Hampshire,Municipal Energy Reduction Fund,Loan Program
Texas,Austin Energy - Commercial Solar PV Incentive Program,Performance-Based Incentive
Wisconsin,Multifamily Energy Savings Program (Existing Buildings and New Construction),Rebate Program
Indiana,Income Tax Deduction for Solar-Powered Roof Vents or Fans,Personal Tax Deduction
Wisconsin,Apartment and Condo New Construction Efficiency Services,Rebate Program
South Dakota,South Dakota Solar and Wind Easement Law,Solar/Wind Access Policy
Wisconsin,Focus on Energy - Commercial/Industrial Efficiency in New Construction,Rebate Program
Maine,Solar Hot Water Contractor Licensing,Solar/Wind Contractor Licensing
Kentucky,Energy Efficiency Loans for State Government Agencies,Loan Program
New Mexico,Gross Receipts Tax Exemption for Sales of Wind and Solar Systems to Government Entities,Sales Tax Incentive
North Dakota,North Dakota Wind Easements,Solar/Wind Access Policy
Delaware,Sustainable Energy Utility (SEU) - Standard Lighting for Business Program,Rebate Program
Pennsylvania,City of Philadelphia - Green Power Purchasing,Green Power Purchasing
Missouri,Citizens Electric Corporation - Residential Energy Efficiency Rebate Program,Rebate Program
Pennsylvania,FirstEnergy (West Penn Power) - Commercial and Industrial Energy Efficiency Rebate Program,Rebate Program
New York,Nassau County - Green Power Purchasing Policy,Green Power Purchasing
Washington,,Other Policy
Arizona,Arizona - Energy-Efficient Residential Appliance Rebate Program,Rebate Program
Georgia,Cobb EMC - Solar Rebate Program,Rebate Program
Massachusetts,Solar Renewable Energy Certificates (SREC-I),Performance-Based Incentive
Michigan,Wisconsin Public Service (Efficiency United) - Commercial and Industrial Electric Rebate Program,Rebate Program
Iowa,Iowa - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Minnesota,Minnesota - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Nevada,Southwest Gas Corporation - Solar Water Heating Program,Rebate Program
Wisconsin,Alliant Energy (Wisconsin Power & Light) - Renewable Incentives Grant Program,Grant Program
Wisconsin,Alliant Energy (Wisconsin Power & Light) - Renewable Incentives Loan Program,Loan Program
Kentucky,On-Farm Energy Efficiency Grant Program,Grant Program
Kentucky,Office of Agricultural Policy - Multi-County Energy Initiative,Industry Recruitment/Support
Maryland,Sunburst Solar Grant Program,Grant Program
South Dakota,South Dakota - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
California,Pacific Power - FinAnswer Express Rebate Program,Rebate Program
Minnesota,Xcel Energy - Solar*Rewards Program and MN Made PV Rebate Program,Rebate Program
Washington,Washington - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Minnesota,Residential Geothermal Heat Pump Rebate Program,Rebate Program
Arkansas,Arkansas - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Michigan,Michigan - Residential Energy-Efficient Appliance Rebate Program (Heating and Water Heating),Rebate Program
Ohio,Columbia Gas of Ohio - Small Business Energy Efficiency Program,Rebate Program
Pennsylvania,PPL Electric Utilities - Solar & Geothermal Rebate Program,Rebate Program
Maryland,Solar Renewable Energy Certificates (SRECs),Performance-Based Incentive
Missouri,Residential Energy Efficiency Rebate (Offered by Members of Associated Electric Cooperative),Rebate Program
Iowa,Residential Energy Efficiency Rebate (Offered by Several Cooperative Utilities),Rebate Program
New Jersey,Solar Energy Option Requirement for Residential Developments,Building Energy Code
Oklahoma,Residential Energy Efficiency Rebate (Offered by Several Cooperative Utilities),Rebate Program
South Carolina,South Carolina - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
New Jersey,Assessment of Farmland Hosting Renewable Energy Systems,Property Tax Incentive
Pennsylvania,PPL Electric Utilities - Custom Energy Efficiency Program,Rebate Program
Wisconsin,River Falls Municipal Utilities - Renewable Energy Finance Program,PACE Financing
New Mexico,Advanced Energy Gross Receipts Tax Deduction,Sales Tax Incentive
Washington,Bellingham - Green Power Purchasing,Green Power Purchasing
Maryland,Maryland - Residential Energy Efficient Appliance Rebate Program,Rebate Program
Arkansas,Renewable Technology Rebate Fund,Rebate Program
New Jersey,New Jersey - Residential Energy Efficient Appliance Rebate Program,Rebate Program
Washington,City of Bellingham - Green Power Purchasing,Green Power Purchasing
New Mexico,City of Albuquerque - Green Power Purchasing,Green Power Purchasing
Massachusetts,Residential New Construction Program,Rebate Program
Minnesota,Solar Space Heating Rebate Program,Rebate Program
Pennsylvania,PECO Energy (Electric) - Residential Energy Efficiency Rebate Program,Rebate Program
Louisiana,Louisiana - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Florida,Florida - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
New Mexico,Property Tax Exemption for Residential Solar Systems,Property Tax Incentive
Hawaii,Hawaii - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Mississippi,Mississippi - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Alabama,Alabama - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Idaho,Idaho Falls Power - Residential Energy Efficiency Rebate Program,Rebate Program
North Dakota,North Dakota - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Florida,Keys Energy Services - Solar Water Heater Rebate Program,Rebate Program
Arizona,SRP - Residential Energy Efficiency Rebate Program,Rebate Program
Pennsylvania,PECO Energy (Electric) - Non-Residential Energy Efficiency Rebate Program,Rebate Program
California,Sales and Use Tax Exclusion for Advanced Transportation and Alternative Energy Manufacturing Program,Industry Recruitment/Support
Massachusetts,Major Renovations Program,Rebate Program
Vermont,Agricultural Lighting and Equipment Rebate Program,Rebate Program
Indiana,Indianapolis Power & Light - Rate REP (Renewable Energy Production),Performance-Based Incentive
Vermont,Efficiency Vermont - newLIGHT Incentive Program,Rebate Program
Massachusetts,Model As-of Right Zoning Ordinance or Bylaw: Allowing Use of Large-Scale Solar Energy Facilities,Solar/Wind Permitting Standards
Maine,Local Option - Property Assessed Clean Energy,PACE Financing
North Dakota,Northern Plains EC - Residential Energy Efficiency Rebate Program,Rebate Program
Nevada,Southwest Gas Corporation - Commercial Energy Audit Program,Rebate Program
Virginia,Green Jobs Tax Credit,Industry Recruitment/Support
Arizona,Southwest Gas Corporation - Combined Heat and Power Program,Rebate Program
Massachusetts,Green Communities Grant Program,Grant Program
South Dakota,Renewable Energy System Exemption,Property Tax Incentive
Wisconsin,Milwaukee - Milwaukee Shines PACE Solar Loan Program,PACE Financing
South Dakota,Wind and Transmission Construction Tax Refund,Sales Tax Incentive
Minnesota,Local Option - Energy Improvement Financing Programs,PACE Financing
Missouri,Missouri - Residential Energy Efficient Appliance Rebate Program (Energize Missouri),Rebate Program
North Carolina,Pitt County - Wind Energy Systems Ordinance,Solar/Wind Permitting Standards
Pennsylvania,Pennsylvania - Residential Energy Efficient Appliance Rebate Program,Rebate Program
New Mexico,Xcel Energy - Residential Energy Efficiency Rebate Program,Rebate Program
Michigan,DTE Energy - Residential New Construction Energy Efficiency Program,Rebate Program
Pennsylvania,FirstEnergy (West Penn Power) - Residential Energy Efficiency Rebate Program,Rebate Program
Colorado,City of Boulder - Solar Sales and Use Tax Rebate,Sales Tax Incentive
Wyoming,Montana-Dakota Utilities (Gas) - Residential Energy Efficiency Rebate Program,Rebate Program
Montana,Montana - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
Wyoming,Wyoming - Residential Energy Efficient Appliance Rebate Program,Rebate Program
California,City of San Francisco - GreenFinanceSF,PACE Financing
Alaska,,Other Incentive
Virginia,Virginia - Residential Energy-Efficient Appliance Rebates,Rebate Program
Colorado,Colorado - Residential Energy Efficiency Rebate Program,Rebate Program
Colorado,Poudre Valley REA - Photovoltaic Rebate Program,Rebate Program
Nevada,Nevada - Residential Energy Efficient Appliance Rebate Program,Rebate Program
Utah,Utah - Renewable Energy Rebate Program,Rebate Program
Colorado,Colorado - Residential Renewable Energy Rebate Program,Rebate Program
Pennsylvania,Solar Alternative Energy Credits,Performance-Based Incentive
North Carolina,North Carolina - Energy Efficient Appliance Rebate Program,Rebate Program
California,California - Energy Efficient Appliance Rebate Program,Rebate Program
New Mexico,New Mexico - Residential Energy Efficiency Rebate Program,Rebate Program
Colorado,Colorado - Commercial Renewable Energy Rebate Program,Rebate Program
New Hampshire,Residential Solar Water Heating Rebates,Rebate Program
California,City of Long Beach - Residential Energy Efficiency and Solar Water Heating Rebate Program,Rebate Program
Delaware,Solar Renewable Energy Credits (SRECs) Spot Market Program,Performance-Based Incentive
Delaware,Delaware - Green Power Requirement For State Facilities,Green Power Purchasing
Maryland,Low-to-Moderate Income Energy Efficiency Grant,Grant Program
Colorado,Longmont Power & Communications - CFL Instant Rebate Program,Rebate Program
Colorado,Fort Collins Utilities - Home Efficiency Program,Rebate Program
Colorado,Fort Collins Utilities - Efficiency Works - Commercial Energy Efficiency Rebate Program,Rebate Program
Colorado,City of Aurora - Residential Energy Efficiency & Conservation Rebate Program,Rebate Program
California,California Solar Initiative - Solar Thermal Program,Rebate Program
Colorado,City of Aurora - Main Street Commercial Energy Efficiency & Conservation Rebate Program,Rebate Program
Colorado,City of Aurora - Solar Permit Offset and Energy Audit Rebate,Rebate Program
North Carolina,Catawba County - Green Construction Permitting Incentive Program,Green Building Incentive
Colorado,City of Lakewood - DIY Attic Insulation Rebate,Rebate Program
Colorado,City of Lakewood - Solar Permit Fee Rebate,Rebate Program
Oklahoma,Oklahoma - Residential Appliance Replacement Rebate Program,Rebate Program
North Carolina,Piedmont Natural Gas - Residential Equipment Efficiency Program,Rebate Program
North Carolina,Piedmont Natural Gas - Commercial Equipment Efficiency Program,Rebate Program
Virginia,Columbia Gas of Virginia - Home Savings Rebate Program,Rebate Program
Illinois,Nicor Gas - Residential Energy Efficiency Rebates,Rebate Program
Virginia,Columbia Gas of Virginia - Business Efficiency Rebate Program,Rebate Program
Illinois,Nicor Gas - Commercial Energy Efficiency Rebates,Rebate Program
Pennsylvania,"FirstEnergy (Met-Ed, Penelec, Penn Power, and West Penn) - Commercial and Industrial Energy Efficiency Program",Rebate Program
Pennsylvania,"FirstEnergy (MetEdison, Penelec, Penn Power, West Penn Power)  - Residential Energy Efficiency Programs",Rebate Program
Florida,Atlanta Gas Light - Residential Energy Smart Rebate Program,Rebate Program
Virginia,,Other Incentive
Virginia,Dominion Virginia Power - Residential Energy Efficiency Programs,Rebate Program
Virginia,Dominion Virginia Power - Non-Residential Energy Efficiency Programs,Rebate Program
Illinois,Association of Illinois Electric Cooperatives (AIEC) - HomE Residential Rebate Program,Rebate Program
Utah,Utah - Cash For Appliances Rebate Program,Rebate Program
Iowa,Cedar Falls Utilities - Commercial Energy Efficiency Rebate Program,Rebate Program
Ohio,City of Cleveland - Residential Property Tax Abatement for Green Buildings,Property Tax Incentive
Texas,CPS Energy - Solartricity Producer Program,Performance-Based Incentive
Colorado,Southeast Colorado Power Association - Energy Efficiency Rebate Program,Rebate Program
Wisconsin,Woody Biomass Harvesting and Processing Tax Credit (Corporate),Corporate Tax Credit
Illinois,Public Sector Energy Efficiency Programs,Rebate Program
Wisconsin,Woody Biomass Harvesting and Processing Tax Credit (Personal),Personal Tax Credit
Idaho,Idaho Falls Power - Energy Efficient Heat Pump Loan/Rebate Program,Loan Program
Arkansas,Wind Energy Manufacturing Tax Incentive,Industry Recruitment/Support
Georgia,Georgia Green Loans Save & Sustain Program,Other Incentive
Arizona,Renewable Energy Production Tax Credit (Personal),Personal Tax Credit
Arizona,Renewable Energy Production Tax Credit (Corporate),Corporate Tax Credit
Kentucky,TVA Partner Utilities - In-Home Energy Evaluation Pilot Program,Rebate Program
Minnesota,Residential Small Wind Rebate Program,Rebate Program
Tennessee,TVA Partner Utilities - In-Home Energy Evaluation Program,Rebate Program
Alabama,TVA Partner Utilities - In-Home Energy Evaluation Pilot Program,Rebate Program
Mississippi,TVA Partner Utilities - In-Home Energy Evaluation Pilot Program,Rebate Program
Florida,Orange County - OCHEEP!,Rebate Program
Illinois,Green Energy Loans,Loan Program
Oklahoma,Energy Efficient Residential Construction Tax Credit (Corporate),Corporate Tax Credit
California,Corona Department of Water & Power - Solar Partnership Rebate Program,Rebate Program
Missouri,,Other Incentive
Washington,Avista Utilities (Electric) - Commercial Energy Efficiency Incentives Program,Rebate Program
Idaho,Avista Utilities (Electric) - Commercial Food Equipment Rebates,Rebate Program
Idaho,Avista Utilities (Electric) - Commercial Lighting Energy Efficiency Program,Rebate Program
Kansas,Renewable Electricity Facility Tax Credit (Corporate),Corporate Tax Credit
Texas,Green Mountain Energy Renewable Rewards Program,Net Metering
Georgia,Local Option - Special Improvement Districts,PACE Financing
Oklahoma,Renewable Energy Goal,Renewables Portfolio Standard
Michigan,Alger Delta Electric - Commercial Energy Efficiency Rebate Program,Rebate Program
Michigan,HomeWorks Tri-County Electric Cooperative - Commercial Energy Efficiency Rebate Program,Rebate Program
Michigan,Midwest Energy Cooperative - Residential Energy Efficiency Rebate Program,Rebate Program
Michigan,Ontonagon County REA - Commercial Energy Efficiency Rebate Program,Rebate Program
Michigan,Presque Isle Electric Cooperative - Commercial Energy Efficiency Rebate Program,Rebate Program
Michigan,Thumb Electric Cooperative - Commercial Energy Efficiency Rebate Program,Rebate Program
Michigan,City of Escanaba - Residential Energy Efficiency Rebate Program,Rebate Program
Michigan,Marquette Board of Light & Power - Residential Energy Efficiency Rebate Program,Rebate Program
Michigan,Newberry Water & Light Board - Residential Energy Efficiency Rebate Program,Rebate Program
Michigan,City of Stephenson - Residential Energy Efficiency Rebate Program,Rebate Program
Georgia,Atlanta Gas Light - Energy Efficiency Incentive Program,Rebate Program
Kansas,Renewable Electricity Facility Tax Credit (Personal),Personal Tax Credit
Nebraska,MidAmerican Energy (Gas) - Residential Energy Efficiency Rebate Programs,Rebate Program
Wisconsin,River Falls Municipal Utilities - Residential Energy Efficiency Rebate Program,Rebate Program
Texas,El Paso Electric Company - Solar PV Pilot Program,Rebate Program
Illinois,North Shore Gas - Commercial & Industrial Prescriptive Rebate Program,Rebate Program
Idaho,Northern Lights Inc. - Energy Conservation Rebate Program,Rebate Program
South Carolina,Piedmont Natural Gas - Residential Equipment Efficiency Program,Rebate Program
South Carolina,Piedmont Natural Gas - Commercial Equipment Efficiency Rebates,Rebate Program
Maryland,PEPCO - Commissioning and Operations Incentive Programs,Rebate Program
Maryland,PEPCO - Existing Buildings Energy Efficiency Program,Rebate Program
Tennessee,"Memphis Light, Gas and Water (Electric) - Commercial Efficiency Advice and Incentives Program",Rebate Program
Colorado,Property Tax Exemption for Third Party-Owned Residential Photovoltaics,Property Tax Incentive
Colorado,Douglas County - Residential Energy Efficiency Rebate Program,Rebate Program
Colorado,Property Tax Exemption for Residential Renewable Energy Equipment,Property Tax Incentive
Delaware,Sustainable Energy Utility (SEU) - Green for Green Home Rebate,Rebate Program
Missouri,Columbia Water & Light - HVAC and Lighting Efficiency Rebates,Rebate Program
Massachusetts,Unitil - Commercial and Industrial Energy Efficiency Programs,Rebate Program
Delaware,Sustainable Energy Utility (SEU) - Non-Residential Efficiency Plus Rebate Program,Rebate Program
Ohio,Qualified Energy Property Tax Exemption for Projects 250 kW or Less,Property Tax Incentive
Virginia,Alternative Energy System Contracting,Solar/Wind Contractor Licensing
Tennessee,Tennessee Solar Panel Installation Specialty and Solar Thermal-Geothermal Licensing,Solar/Wind Contractor Licensing
Colorado,Colorado Springs Utilities - Builder Incentive Program,Rebate Program
Washington,Clallam County PUD - Residential Efficiency Rebate Program,Rebate Program
Washington,Clallam County PUD - Residential and Small Business Efficiency Loan Program,Loan Program
Washington,Port Angeles Public Works & Utilities - Energy Efficiency Loan Program,Loan Program
Florida,City of Tallahassee Utilities - Efficiency Loans,Loan Program
Michigan,Small Business Investment Tax Credit,Industry Recruitment/Support
Washington,Peninsula Light Company - Residential Energy Efficiency  Rebate Program,Rebate Program
Texas,Bandera Electric Cooperative - Residential Heat Pump Rebate Program,Rebate Program
South Carolina,Rock Hill Utilities - Water Heater and Heat Pump Rebate Program,Rebate Program
Tennessee,Tennessee Solar Institute - Solar Installation Grant Program,Rebate Program
Maryland,Choptank Electric Cooperative - Energy Efficiency Rebate Program,Rebate Program
Kentucky,Cumberland Valley Electric Cooperative - Energy Efficiency and Renewable Energy Program,Rebate Program
Illinois,Corn Belt Energy Coop - Residential Energy Efficiency Rebate Program,Rebate Program
Georgia,Marietta Power and Water - Heat Pump and Water Heater Efficiency Rebate Program,Rebate Program
Florida,Ocala Utility Services - Energy Efficiency Rebate Program,Rebate Program
Arizona,Mohave Electric Cooperative - Energy Efficiency Rebate Program,Rebate Program
Louisiana,Louisiana Solar Rights,Solar/Wind Access Policy
Arkansas,CenterPoint Energy (Gas) - Residential Heating and Hot Water Rebates,Rebate Program
Arkansas,CenterPoint Energy - Business Gas Heating Rebates,Rebate Program
Mississippi,Mississippi Clean Energy Initiative,Industry Recruitment/Support
Missouri,City of Columbia Water & Light - Commercial Energy Efficiency Loans,Loan Program
New York,NYSEG (Electric) - Commercial and Industrial Efficiency Program,Rebate Program
New York,RG&E (Electric) - Commercial and Industrial Efficiency Program,Rebate Program
West Virginia,Interconnection Standards,Interconnection
Delaware,Sustainable Energy Utility (SEU) - Efficiency Plus Homes Heating and Cooling Rebate Program,Rebate Program
Missouri,Local Option - Clean Energy Development Boards,PACE Financing
California,SDG&E (Electric) - Multi-Family Residential Efficiency Program,Rebate Program
California,SCE - Non-Residential On-Bill Financing Program,Loan Program
New Hampshire,Residential Bulk-Fed Wood-Pellet Central Boilers and Furnace Rebate Program,Rebate Program
New Hampshire,Local Option - Energy Efficiency & Clean Energy Districts,PACE Financing
Tennessee,Pathway Lending - Energy Efficiency Loans,Loan Program
New Hampshire,,Other Incentive
California,PG&E - Multifamily Residential Energy Savings Rebate Program,Rebate Program
California,SCE - California Advanced Homes,Rebate Program
Massachusetts,Berkshire Gas - Commercial Energy Efficiency Rebate Program,Rebate Program
Indiana,Indianapolis Power & Light - Small-Scale Renewable Energy Incentive Program,Rebate Program
Mississippi,Mississippi Power - Residential & Commercial Energy Efficiency Rebate Program,Rebate Program
Maine,Efficiency Maine - Replacement Heating Equipment Program,Rebate Program
Massachusetts,Western Massachusetts Electric - Residential Energy Efficiency Rebate Program,Rebate Program
Mississippi,Mississippi Power - EarthCents Commercial Incentives Program,Rebate Program
Mississippi,Mississippi Power - In-home Energy Checkup Program,Rebate Program
Maryland,SMECO - Non-Residential Energy Efficiency Rebate Program,Rebate Program
California,SDG&E - California Advanced Homes Incentives,Rebate Program
California,SCE - California Advanced Homes Incentives,Rebate Program
Tennessee,,Other Incentive
California,PG&E - California Advanced Homes Incentives,Rebate Program
Virginia,Charlottesville - Residential Energy Efficiency Rebate Program,Rebate Program
Pennsylvania,Duquesne Light Company - Residential Solar Water Heating Program,Rebate Program
Michigan,Coldwater Board of Public Utilities - Residential Energy Efficiency Rebate Program,Rebate Program
North Carolina,Duke Energy - Standard Purchase Offer for RECs,Performance-Based Incentive
South Carolina,Duke Energy - Standard Purchase Offer for RECs,Performance-Based Incentive
Indiana,Indiana Solar Thermal (IST) Grant Program,Grant Program
Colorado,Black Hills Energy (Electric) - Commercial Energy Efficiency Program,Rebate Program
North Carolina,Renewable Energy Equipment Manufacturer Tax Credit,Industry Recruitment/Support
Colorado,Black Hills Energy (Electric) - Residential Energy Efficiency Program,Rebate Program
Massachusetts,Taunton Municipal Lighting Plant - Residential PV Rebate Program,Rebate Program
Massachusetts,Local Option - Energy Revolving Loan Fund,PACE Financing
Arkansas,Solar Hot Water Contractor Licensing,Solar/Wind Contractor Licensing
Louisiana,Solar Contractor Licensing,Solar/Wind Contractor Licensing
Missouri,Missouri Agricultural and Energy Saving Team - A Revolutionary Opportunity (MAESTRO),Loan Program
Colorado,United Power - Renewable Energy Rebate Program,Rebate Program
Georgia,City of Atlanta - Sustainable Home Initiative in the New Economy (SHINE) Program,Rebate Program
Texas,AEP SWEPCO - CitySmart Program,Rebate Program
Florida,Ocala Utility Services - Solar Hot Water Heating Rebate Program,Rebate Program
Arizona,Southwest Gas Corporation - Large Commercial Energy-Efficiency Boiler Program,Rebate Program
Colorado,San Miguel Power Association - Renewable Energy Rebate Program,Rebate Program
Ohio,City of Elyria - Energy Smart Home Program,Rebate Program
Louisiana,Home Energy Rebate Option (HERO) - New Homes Program,Rebate Program
Louisiana,Home Energy Rebate Option (HERO) - Commercial Buildings Retrofit Program,Rebate Program
Illinois,Illinois Solar and Wind Rights,Solar/Wind Access Policy
Massachusetts,NSTAR (Electric) - Residential Energy Efficiency Programs,Rebate Program
Michigan,Consumers Energy (Electric) - Commercial Energy Efficiency Program,Rebate Program
Michigan,Consumers Energy (Gas) - Residential Energy Efficiency Program,Rebate Program
Florida,Sarasota County - Get Energy Smart Retrofit Program,Rebate Program
Florida,Sarasota County - Get Energy Smart Retrofit Loan Program,Loan Program
New York,RG&E (Electric) - Small Business Lighting Retrofit Program,Rebate Program
Wisconsin,Focus on Energy - Efficient Heating and Cooling Cash-Back Rewards (WPS Customers Only),Rebate Program
New York,NYSEG (Electric) - Small Business Lighting Retrofit Program,Rebate Program
Wisconsin,Home Performance with ENERGY STAR: Whole Home Improvements,Rebate Program
Wisconsin,Focus on Energy - Home Performance with Energy Star Loan Program (WPS Customers Only),Loan Program
Ohio,Qualified Energy Property Tax Exemption for Projects over 250 kW (Payment in Lieu),Property Tax Incentive
Colorado,San Miguel Power Association - Energy Efficiency Rebate Program,Rebate Program
Wisconsin,Focus on Energy - Incentives for Existing Multi-Family Buildings (WPS Customers Only),Rebate Program
Wisconsin,Focus on Energy - Commercial Solar Space-Heating Grant (WPS Customers Only),Grant Program
Wisconsin,Focus on Energy - Large Renewable Grant Program (WPS Customers Only),Grant Program
Wisconsin,Energy Bundle Bonus (WPS Customers Only),Rebate Program
Ohio,Solar Renewable Energy Credits (SRECs),Performance-Based Incentive
Texas,CPS Energy - Small Business Lighting Retrofit Program,Rebate Program
Texas,City of San Antonio and CPS Energy - City Lights Small Business Energy Efficiency Program,Loan Program
Wisconsin,Focus on Energy - Farm Multi-Project Bonus (WPS Customers Only),Rebate Program
Wisconsin,Focus on Energy - Renewable Energy Incentives for Nonprofits (WPS Customers Only),Rebate Program
Tennessee,Tennessee Solar Institute - Solar Innovation Grant Program,Grant Program
Tennessee,Pathway Energy Efficiency Loan Program,Loan Program
Nevada,Valley Electric Association - Solar Water Heating Program,Loan Program
Tennessee,Green Energy Production Facility Tax Credit,Industry Recruitment/Support
Minnesota,Rochester Public Utilities - Solar Rebate Program,Rebate Program
North Carolina,Madison County - Wind Energy Systems Ordinance,Solar/Wind Permitting Standards
Minnesota,Austin Utilities - Solar Rebate Program,Rebate Program
Minnesota,Owatanna Public Utilities - Solar Rebate Program,Rebate Program
New Jersey,Clean Energy Solutions ARRA CHP Program,Grant Program
Arizona,Copy of TEP - Renewable Energy Credit Purchase Program,Rebate Program
Connecticut,(Electric and Gas ) Home Energy Solutions Rebate Program,Rebate Program
Pennsylvania,Pennsylvania Green Energy Loan Fund,Loan Program
Connecticut,Connecticut Light and Power (Electric) - Heating and Cooling Rebate Program,Rebate Program
Maryland,Baltimore County - Property Tax Credit for High Performance Buildings and Homes,Property Tax Incentive
Connecticut,(Electric and Gas)  Residential New Construction Program,Rebate Program
Arizona,Electric District No. 3 - Solar Rebate Program,Rebate Program
Arizona,City of Maricopa - Solar Rebate Program,Rebate Program
Arizona,Mohave Electric Cooperative - Renewable Energy Incentive Program,Rebate Program
Florida,Volusia County - Green Building Program,Green Building Incentive
Delaware,Home Performance with Energy Star Rebates,Rebate Program
Delaware,Sustainable Energy Utility (SEU) - Non-Residential Efficiency Plus Financing Program,Loan Program
Delaware,Copy of Sustainable Energy Utility (SEU) - Non-Residential Efficiency Plus Rebate Program,Rebate Program
Texas,Texas - Residential Energy-Efficient Appliance Rebates,Rebate Program
Ohio,Copy of Ohio - Residential Energy-Efficient Appliance Rebates,Rebate Program
Connecticut,(Electric) Commercial and Industrial Energy Efficiency Programs,Rebate Program
