Net generation for all sectors,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=vvvvvvvvvvvvo&sec=g&linechart=ELEC.GEN.ALL-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&start=2022&end=2023&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,
Massachusetts : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MA-99.A,--
New Hampshire,,ELEC.GEN..A,
New Hampshire : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NH-99.A,16825
New Hampshire : coal,thousand megawatthours,ELEC.GEN.COW-NH-99.A,160
New Hampshire : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NH-99.A,68
New Hampshire : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NH-99.A,--
New Hampshire : natural gas,thousand megawatthours,ELEC.GEN.NG-NH-99.A,4226
New Hampshire : other gases,thousand megawatthours,ELEC.GEN.OOG-NH-99.A,--
New Hampshire : nuclear,thousand megawatthours,ELEC.GEN.NUC-NH-99.A,9535
New Hampshire : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NH-99.A,1592
New Hampshire : other renewables,thousand megawatthours,ELEC.GEN.AOR-NH-99.A,1194
New Hampshire : wind,thousand megawatthours,ELEC.GEN.WND-NH-99.A,411
New Hampshire : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NH-99.A,3
New Hampshire : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NH-99.A,3
New Hampshire : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NH-99.A,--
New Hampshire : geothermal,thousand megawatthours,ELEC.GEN.GEO-NH-99.A,--
New Hampshire : biomass,thousand megawatthours,ELEC.GEN.BIO-NH-99.A,779
New Hampshire : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NH-99.A,642
New Hampshire : other biomass,thousand megawatthours,ELEC.GEN.WAS-NH-99.A,138
New Hampshire : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NH-99.A,--
New Hampshire : other,thousand megawatthours,ELEC.GEN.OTH-NH-99.A,51
New Hampshire : all solar,thousand megawatthours,ELEC.GEN.TSN-NH-99.A,302
New Hampshire : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NH-99.A,299
New Hampshire : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NH-99.A,3
New Hampshire : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NH-99.A,3
New Hampshire : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NH-99.A,--
Rhode Island,,ELEC.GEN..A,
Rhode Island : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-RI-99.A,10431
Rhode Island : coal,thousand megawatthours,ELEC.GEN.COW-RI-99.A,0
Rhode Island : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-RI-99.A,31
Rhode Island : petroleum coke,thousand megawatthours,ELEC.GEN.PC-RI-99.A,--
Rhode Island : natural gas,thousand megawatthours,ELEC.GEN.NG-RI-99.A,9554
Rhode Island : other gases,thousand megawatthours,ELEC.GEN.OOG-RI-99.A,--
Rhode Island : nuclear,thousand megawatthours,ELEC.GEN.NUC-RI-99.A,--
Rhode Island : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-RI-99.A,8
Rhode Island : other renewables,thousand megawatthours,ELEC.GEN.AOR-RI-99.A,839
Rhode Island : wind,thousand megawatthours,ELEC.GEN.WND-RI-99.A,169
Rhode Island : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-RI-99.A,423
Rhode Island : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-RI-99.A,423
Rhode Island : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-RI-99.A,--
Rhode Island : geothermal,thousand megawatthours,ELEC.GEN.GEO-RI-99.A,--
Rhode Island : biomass,thousand megawatthours,ELEC.GEN.BIO-RI-99.A,247
Rhode Island : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-RI-99.A,--
Rhode Island : other biomass,thousand megawatthours,ELEC.GEN.WAS-RI-99.A,247
Rhode Island : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-RI-99.A,--
Rhode Island : other,thousand megawatthours,ELEC.GEN.OTH-RI-99.A,0
Rhode Island : all solar,thousand megawatthours,ELEC.GEN.TSN-RI-99.A,1027
Rhode Island : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-RI-99.A,603
Rhode Island : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-RI-99.A,423
Rhode Island : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-RI-99.A,423
Rhode Island : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-RI-99.A,--
Vermont,,ELEC.GEN..A,
Vermont : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-VT-99.A,2480
Vermont : coal,thousand megawatthours,ELEC.GEN.COW-VT-99.A,--
Vermont : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-VT-99.A,3
Vermont : petroleum coke,thousand megawatthours,ELEC.GEN.PC-VT-99.A,--
Vermont : natural gas,thousand megawatthours,ELEC.GEN.NG-VT-99.A,1
